expression,reading,meaning,ChineseMeaning,tags
現像,げんぞう,developing (film),沖洗（底片）,JLPT_1 JLPT
原則,げんそく,"principle, general rule",原則,JLPT_1 JLPT
見地,けんち,point of view,見解、觀點,JLPT_1 JLPT
現地,げんち,"actual place, local",現場、當地,JLPT_1 JLPT
限定,げんてい,"limit, restriction",限定、限制,JLPT_1 JLPT
原点,げんてん,"origin (coordinates, starting point)",原點,JLPT_1 JLPT
原典,げんてん,"original, source",原典、原始資料,JLPT_1 JLPT
原爆,げんばく,atomic bomb,原子彈,JLPT_1 JLPT
原文,げんぶん,"the text, original",原文,JLPT_1 JLPT
厳密,げんみつ,"strict, close",嚴密,JLPT_1 JLPT
賢明,けんめい,"wisdom, intelligence, prudence",賢明、明智,JLPT_1 JLPT
倹約,けんやく,"thrift, economy, frugality",節約,JLPT_1 JLPT
原油,げんゆ,crude oil,原油,JLPT_1 JLPT
兼用,けんよう,"multi-use, combined use",兼用,JLPT_1 JLPT
権力,けんりょく,"(political) power, authority, influence",權力,JLPT_1 JLPT
言論,げんろん,"discussion, speech",言論,JLPT_1 JLPT
語彙,ごい,"vocabulary, glossary",詞彙,JLPT_1 JLPT
恋する,こいする,"to fall in love with, to love",戀愛,JLPT_1 JLPT
甲,こう,1st in rank; shell,甲,JLPT_1 JLPT
好意,こうい,"good will, favor, courtesy",好意,JLPT_1 JLPT
行為,こうい,"act, deed, conduct",行為,JLPT_1 JLPT
合意,ごうい,"agreement, consent, mutual understanding",合意,JLPT_1 JLPT
工学,こうがく,engineering,工學,JLPT_1 JLPT
抗議,こうぎ,"protest, objection",抗議,JLPT_1 JLPT
合議,ごうぎ,"consultation, conference",會議,JLPT_1 JLPT
皇居,こうきょ,Imperial Palace,皇居,JLPT_1 JLPT
好況,こうきょう,"prosperous conditions, healthy economy",景氣好轉,JLPT_1 JLPT
鉱業,こうぎょう,mining industry,礦業,JLPT_1 JLPT
興業,こうぎょう,starting a business; industry,興業,JLPT_1 JLPT
高原,こうげん,"tableland, plateau",高原,JLPT_1 JLPT
交互,こうご,"mutual, reciprocal, alternate",交互、互相,JLPT_1 JLPT
煌々と,こうこうと,brightly,明亮地,JLPT_1 JLPT
考古学,こうこがく,archeology,考古學,JLPT_1 JLPT
工作,こうさく,"handicraft, maneuvering",工作、手工藝,JLPT_1 JLPT
耕作,こうさく,"cultivation, farming",耕作,JLPT_1 JLPT
鉱山,こうざん,mine,礦山,JLPT_1 JLPT
講習,こうしゅう,"short course, training",講習,JLPT_1 JLPT
口述,こうじゅつ,verbal statement,口述,JLPT_1 JLPT
控除,こうじょ,"subsidy, deduction",扣除,JLPT_1 JLPT
交渉,こうしょう,negotiation,交涉,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
高尚,こうしょう,"high, noble, refined",高尚,JLPT_1 JLPT
向上,こうじょう,"rise, improvement, progress",向上,JLPT_1 JLPT
行進,こうしん,"march, parade",行進,JLPT_1 JLPT
香辛料,こうしんりょう,spices,香辛料,JLPT_1 JLPT
降水,こうすい,"rainfall, precipitation",降水,JLPT_1 JLPT
洪水,こうずい,flood,洪水,JLPT_1 JLPT
合成,ごうせい,"synthetic, mixed",合成,JLPT_1 JLPT
公然,こうぜん,openly,公然,JLPT_1 JLPT
抗争,こうそう,"dispute, resistance",抗爭,JLPT_1 JLPT
構想,こうそう,"plan, plot, idea, conception",構想,JLPT_1 JLPT
後退,こうたい,"retreat, backspace",後退,JLPT_1 JLPT
光沢,こうたく,"luster, glossy finish (of photographs)",光澤,JLPT_1 JLPT
公団,こうだん,public corporation,公團,JLPT_1 JLPT
好調,こうちょう,"satisfactory, in good shape",好調,JLPT_1 JLPT
口頭,こうとう,oral,口頭,JLPT_1 JLPT
講読,こうどく,reading,講讀,JLPT_1 JLPT
購読,こうどく,subscription,購讀,JLPT_1 JLPT
購入,こうにゅう,"purchase, buy",購入,JLPT_1 JLPT
公認,こうにん,"official recognition, authorization",公認,JLPT_1 JLPT
光熱費,こうねつひ,cost of fuel and light,水電費,JLPT_1 JLPT
購買,こうばい,"purchase, buy",購買,JLPT_1 JLPT
